# KIC Dnu Published_Dp  Published_core_rot(mu_hz)  published_observed_rotational_components  Predicted_Dp Predicted_q Predicted_core_rotation(mu_hz)  Predicted_inclination
2141436 10.08 77.70 0.68 2 80.70 0.11 1.78 40.50
2715975 9.37 75.90 0.85 2 78.50 0.09 1.78 70.50
3426673 13.56 83.10 0.38 2 82.90 0.13 0.89 43.50
3432802 11.58 77.80 0.52 2 76.30 0.09 1.09 36.00
3532085 9.53 76.80 0.81 3 78.50 0.09 1.78 43.50
3628943 10.11 75.10 0.81 2 82.90 0.09 1.88 40.50
4457632 9.67 74.20 0.72 2 76.30 0.09 1.78 37.50
4920600 9.26 75.60 0.40 2 74.10 0.09 0.89 34.50
5006817 11.68 77.30 0.88 3 74.10 0.13 1.88 79.50
5343454 10.05 75.60 1.21 2 80.70 0.11 2.67 43.50
6025641 9.88 75.90 0.91 2 76.30 0.09 1.98 34.50
6119774 9.69 74.80 0.62 2 82.90 0.07 1.68 46.50
6665058 9.79 77.50 0.99 2 78.50 0.09 2.27 46.50
6764685 10.12 75.70 0.73 2 76.30 0.13 1.58 49.50
6953912 12.71 77.50 1.06 3 76.30 0.15 3.16 88.50
7009245 9.55 75.10 0.59 2 80.70 0.09 1.28 37.50
7546098 13.18 82.70 0.65 3 87.30 0.17 2.17 88.50
7621593 10.54 75.10 1.20 2 76.30 0.12 2.67 37.50
7728958 9.04 75.60 0.78 2 74.10 0.11 1.58 46.50
7969053 10.98 78.50 0.34 2 80.70 0.11 0.69 37.50
7983431 10.07 78.12 0.61 3 80.70 0.11 1.38 37.50
8330073 9.41 75.80 0.83 2 80.70 0.15 1.88 46.50
8345515 9.86 77.50 0.74 2 76.30 0.11 1.68 37.50
8451486 11.48 80.15 0.72 2 80.70 0.15 1.48 49.50
8475025 9.66 74.30 0.66 2 76.30 0.09 1.58 88.50
8605197 9.74 77.40 0.76 2 76.30 0.07 1.68 34.50
9018790 9.43 74.80 0.62 2 80.70 0.09 1.38 34.50
9145861 10.90 77.50 1.15 2 80.70 0.13 2.67 88.50
9211176 11.05 78.60 0.77 2 82.90 0.17 1.88 40.50
9340325 9.22 76.20 1.00 2 78.50 0.13 1.98 43.50
9699882 12.65 81.20 0.44 2 76.30 0.09 0.99 40.50
9754133 11.60 80.30 1.03 2 82.90 0.19 2.27 88.50
9789635 16.30 84.70 0.38 2 85.10 0.17 0.79 67.50
10192458 10.47 78.09 0.28 2 76.30 0.11 0.59 40.50
10862184 9.30 75.20 0.62 2 74.10 0.07 1.48 37.50
11496193 12.28 81.80 0.37 2 80.70 0.11 0.79 49.50
